"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","sample","fraction_overlap","overlap","padj"
"IL-2/STAT5 Signaling","5/199",7.34794656665588e-05,0.000881753587998706,0,0,13.0597409463389,124.309203873759,"ALCAM;S100A1;COL6A1;PHLDA1;HOPX","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.0251256281407035,5,0.00126384680946481
"Notch Signaling","2/32",0.0022497705003054,0.0179981640024432,0,0,31.6285714285714,192.837093259728,"FZD7;HES1","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.0625,2,0.0155673774848718
"TNF-alpha Signaling via NF-kB","3/200",0.00965445920021552,0.0463414041610345,0,0,7.3389872477405,34.0553621576064,"ID2;HES1;PHLDA1","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.015,3,0.0442599971388229
"Epithelial Mesenchymal Transition","3/200",0.00965445920021552,0.0463414041610345,0,0,7.3389872477405,34.0553621576064,"POSTN;ID2;COL8A2","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.015,3,0.0442599971388229
"UV Response Dn","2/144",0.0399948101010781,0.143211222977824,0,0,6.64453386988598,21.3887916087064,"FZD2;NFIB","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.0138888888888889,2,0.122217643049995
"UV Response Up","2/158",0.0472633703085242,0.143211222977824,0,0,6.04395604395604,18.4462728853623,"LHX2;AQP3","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.0126582278481013,2,0.140854202602632
"Xenobiotic Metabolism","2/200",0.0716056114889122,0.143211222977824,0,0,4.75180375180375,12.5285194570889,"ID2;NDRG2","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.01,2,0.1907404328976
"p53 Pathway","2/200",0.0716056114889122,0.143211222977824,0,0,4.75180375180375,12.5285194570889,"VDR;S100A4","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.01,2,0.1907404328976
"Estrogen Response Early","2/200",0.0716056114889122,0.143211222977824,0,0,4.75180375180375,12.5285194570889,"HES1;AQP3","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.01,2,0.1907404328976
"Estrogen Response Late","2/200",0.0716056114889122,0.143211222977824,0,0,4.75180375180375,12.5285194570889,"ID2;PRLR","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.01,2,0.1907404328976
"Apical Junction","2/200",0.0716056114889122,0.143211222977824,0,0,4.75180375180375,12.5285194570889,"ACTN1;CD34","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.01,2,0.1907404328976
"Pancreas Beta Cells","1/40",0.0844064330302912,0.155827260978999,0,0,11.8765652951699,29.3601955415589,"VDR","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.025,1,0.204514995271424
"TGF-beta Signaling","1/54",0.112270793963104,0.192464218222464,0,0,8.73321632294866,19.0981600811213,"ID2","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.0185185185185185,1,0.244632244019441
"Cholesterol Homeostasis","1/74",0.150644448918388,0.241031118269421,0,0,6.33418286078369,11.9895494704193,"ALCAM","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.0135135135135135,1,0.29444142288594
"Androgen Response","1/100",0.1981144149655,0.29717162244825,0,0,4.6645525017618,7.55149331126355,"ACTN1","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.01,1,0.359231559666358
"Coagulation","1/138",0.26286241832067,0.357695238284768,0,0,3.36428450178238,4.49510297450611,"S100A1","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.0072463768115942,1,0.403681570992458
"Apoptosis","1/161",0.299539313175748,0.357695238284768,0,0,2.87732558139535,3.46864363184751,"TIMP2","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.0062111801242236,1,0.441967319930882
"Hypoxia","1/200",0.357695238284768,0.357695238284768,0,0,2.3088699310506,2.37368901814145,"S100A4","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.005,1,0.488282388769683
"heme Metabolism","1/200",0.357695238284768,0.357695238284768,0,0,2.3088699310506,2.37368901814145,"AQP3","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.005,1,0.488282388769683
"Myogenesis","1/200",0.357695238284768,0.357695238284768,0,0,2.3088699310506,2.37368901814145,"FST","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.005,1,0.488282388769683
"KRAS Signaling Up","1/200",0.357695238284768,0.357695238284768,0,0,2.3088699310506,2.37368901814145,"ID2","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.005,1,0.488282388769683
"Complement","1/200",0.357695238284768,0.357695238284768,0,0,2.3088699310506,2.37368901814145,"TIMP2","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.005,1,0.488282388769683
"Myc Targets V1","1/200",0.357695238284768,0.357695238284768,0,0,2.3088699310506,2.37368901814145,"RPS2","de/p60_de_up20_vs_middle20_downsample500_pct10_lfc0.1.csv",0.005,1,0.488282388769683
"Epithelial Mesenchymal Transition","9/200",3.54499232483838e-07,1.13439754394828e-05,0,0,11.1936541979436,166.254416744077,"GREM1;ECM1;POSTN;NT5E;SPARC;IGFBP4;ID2;COL8A2;CCN2","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.045,9,1.77840448296059e-05
"Angiogenesis","4/36",2.20630781947961e-05,0.000307681630712818,0,0,28.2329545454545,302.702587084727,"APP;POSTN;S100A4;FGFR1","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.111111111111111,4,0.00053127892293069
"IL-2/STAT5 Signaling","7/199",3.72521407308519e-05,0.000307681630712818,0,0,8.45661764705882,86.2389051282776,"ECM1;NT5E;ALCAM;S100A1;COL6A1;PHLDA1;HOPX","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.0351758793969849,7,0.000771768090371317
"Estrogen Response Late","7/200",3.84602038391022e-05,0.000307681630712818,0,0,8.41237427613532,85.5192422363593,"FOXC1;IGFBP4;ID2;BAG1;FLNB;PRLR;NBL1","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.035,7,0.000771768090371317
"Estrogen Response Early","6/200",0.000323970269929648,0.00207340972754975,0,0,7.08966674658355,56.964471289389,"FOXC1;IGFBP4;BAG1;FLNB;AQP3;NBL1","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.03,6,0.00406312713536767
"Notch Signaling","2/32",0.00949101341792833,0.0506187382289511,0,0,14.7244444444444,68.5777730931708,"TCF7L2;FZD7","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.0625,2,0.0442599971388229
"Myogenesis","4/200",0.0136905779124027,0.0625854990281264,0,0,4.57142857142857,19.616216806274,"APP;SPARC;FST;BAG1","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.02,4,0.0574324185288967
"TGF-beta Signaling","2/54",0.0256545239983583,0.0919259777807327,0,0,8.48547008547009,31.082576873519,"ID2;ID3","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.037037037037037,2,0.0885710383124718
"Coagulation","3/138",0.0258541812508311,0.0919259777807327,0,0,4.93707865168539,18.0464193718675,"SPARC;S100A1;CAPN2","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.0217391304347826,3,0.0885710383124718
"Xenobiotic Metabolism","3/200",0.0648498030509547,0.172932808135879,0,0,3.3726686819141,9.2265469990737,"IGFBP4;ID2;APOE","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.015,3,0.180738802947568
"Glycolysis","3/200",0.0648498030509547,0.172932808135879,0,0,3.3726686819141,9.2265469990737,"NT5E;AKR1A1;SOX9","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.015,3,0.180738802947568
"p53 Pathway","3/200",0.0648498030509547,0.172932808135879,0,0,3.3726686819141,9.2265469990737,"APP;KRT17;S100A4","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.015,3,0.180738802947568
"Androgen Response","2/100",0.0775653030615549,0.190929976766904,0,0,4.49206349206349,11.484567093173,"ACTN1;SLC38A2","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.02,2,0.19537369223036
"UV Response Dn","2/144",0.142152901446309,0.31281931630294,0,0,3.09327073552426,6.03451349353303,"FZD2;NFIB","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.0138888888888889,2,0.28813483727501
"UV Response Up","2/158",0.164558580015917,0.31281931630294,0,0,2.81367521367521,5.07724502345455,"LHX2;AQP3","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.0126582278481013,2,0.313494510030324
"Apoptosis","2/161",0.169440244537456,0.31281931630294,0,0,2.7601677148847,4.90000140950009,"APP;TIMP2","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.0124223602484472,2,0.32177611107744
"Apical Surface","1/44",0.183791425107245,0.31281931630294,0,0,5.07666751852798,8.59963984617019,"APP","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.0227272727272727,1,0.342602520679833
"Reactive Oxygen Species Pathway","1/49",0.202434763991246,0.31281931630294,0,0,4.5467032967033,7.26262012035433,"MGST1","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.0204081632653061,1,0.361672344221049
"TNF-alpha Signaling via NF-kB","2/200",0.234614487227205,0.31281931630294,0,0,2.21212121212121,3.20715897576185,"ID2;PHLDA1","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.01,2,0.379671831480584
"Hypoxia","2/200",0.234614487227205,0.31281931630294,0,0,2.21212121212121,3.20715897576185,"S100A4;CCN2","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.01,2,0.379671831480584
"Adipogenesis","2/200",0.234614487227205,0.31281931630294,0,0,2.21212121212121,3.20715897576185,"SNCG;APOE","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.01,2,0.379671831480584
"Apical Junction","2/200",0.234614487227205,0.31281931630294,0,0,2.21212121212121,3.20715897576185,"ACTN1;CD34","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.01,2,0.379671831480584
"heme Metabolism","2/200",0.234614487227205,0.31281931630294,0,0,2.21212121212121,3.20715897576185,"AQP3;TNS1","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.01,2,0.379671831480584
"KRAS Signaling Up","2/200",0.234614487227205,0.31281931630294,0,0,2.21212121212121,3.20715897576185,"ID2;SOX9","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.01,2,0.379671831480584
"Cholesterol Homeostasis","1/74",0.289516998408198,0.370581757962494,0,0,2.98584976667168,3.70108400361898,"ALCAM","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.0135135135135135,1,0.430343785288235
"Interferon Alpha Response","1/97",0.361291968470206,0.444667038117176,0,0,2.26785714285714,2.30883476012726,"IFITM2","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.0103092783505155,1,0.488408297209853
"Bile Acid Metabolism","1/112",0.404187498752817,0.479037035558894,0,0,1.95990495990496,1.7754316550281,"NEDD4","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.00892857142857143,1,0.525531045894591
"Mitotic Spindle","1/199",0.602313978820407,0.604161713602058,0,0,1.09390609390609,0.554584584514254,"FLNB","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.0050251256281407,1,0.707776326916111
"Interferon Gamma Response","1/200",0.604161713602058,0.604161713602058,0,0,1.08835385719808,0.548436069870862,"IFITM2","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.005,1,0.707776326916111
"Complement","1/200",0.604161713602058,0.604161713602058,0,0,1.08835385719808,0.548436069870862,"TIMP2","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.005,1,0.707776326916111
"Myc Targets V1","1/200",0.604161713602058,0.604161713602058,0,0,1.08835385719808,0.548436069870862,"RPS2","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.005,1,0.707776326916111
"KRAS Signaling Dn","1/200",0.604161713602058,0.604161713602058,0,0,1.08835385719808,0.548436069870862,"TENM2","de/p60_de_up20_vs_bottom20_downsample500_pct10_lfc0.1.csv",0.005,1,0.707776326916111
"Epithelial Mesenchymal Transition","9/200",2.18495866912195e-07,7.21036360810242e-06,0,0,11.914216673379,182.722368979388,"GREM1;POSTN;SPARC;DST;TPM2;ID2;COL8A2;CCN2;PFN2","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.045,9,1.19576828982856e-05
"Angiogenesis","3/36",0.000511681488326045,0.00844274455737975,0,0,21.5151515151515,163.037691997845,"APP;POSTN;S100A4","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.0833333333333333,3,0.00560058647222326
"IL-2/STAT5 Signaling","4/199",0.01114168678056,0.0623266859635818,0,0,4.87315415508187,21.9148746135942,"ALCAM;COL6A1;PHLDA1;HOPX","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.0201005025125628,4,0.0490786984304464
"Myogenesis","4/200",0.0113321247206512,0.0623266859635818,0,0,4.84804524219326,21.7197938642163,"APP;SPARC;FST;TPM2","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.02,4,0.0490786984304464
"Xenobiotic Metabolism","4/200",0.0113321247206512,0.0623266859635818,0,0,4.84804524219326,21.7197938642163,"SLC6A6;ID2;EPHX1;APOE","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.02,4,0.0490786984304464
"p53 Pathway","4/200",0.0113321247206512,0.0623266859635818,0,0,4.84804524219326,21.7197938642163,"APP;VDR;EPHX1;S100A4","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.02,4,0.0490786984304464
"UV Response Dn","3/144",0.0249717808805995,0.117724109865683,0,0,5.0081053698075,18.4799531684978,"FZD2;NFIB;PLPP3","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.0208333333333333,3,0.088429482883064
"UV Response Up","3/158",0.0316578940283587,0.13058881286698,0,0,4.55253456221198,15.7188444949186,"LHX2;EPHX1;AQP3","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.0189873417721519,3,0.100328936876548
"TNF-alpha Signaling via NF-kB","3/200",0.0567137775073644,0.155962888145252,0,0,3.57432922407542,10.2573887856456,"ID2;PLPP3;PHLDA1","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.015,3,0.160289643471518
"Hypoxia","3/200",0.0567137775073644,0.155962888145252,0,0,3.57432922407542,10.2573887856456,"SLC6A6;S100A4;CCN2","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.015,3,0.160289643471518
"Estrogen Response Late","3/200",0.0567137775073644,0.155962888145252,0,0,3.57432922407542,10.2573887856456,"ID2;CXCL14;NBL1","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.015,3,0.160289643471518
"Apical Junction","3/200",0.0567137775073644,0.155962888145252,0,0,3.57432922407542,10.2573887856456,"ACTN1;ZYX;CD34","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.015,3,0.160289643471518
"Androgen Response","2/100",0.070424276300901,0.178769316763826,0,0,4.75750300120048,12.6226889889879,"ACTN1;SLC38A2","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.02,2,0.1907404328976
"Coagulation","2/138",0.121247921375228,0.285798671813037,0,0,3.42162629757785,7.21935054707957,"SPARC;CSRP1","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.0144927536231884,2,0.255214156181424
"Notch Signaling","1/32",0.130304121988362,0.286669068374396,0,0,7.4576144036009,15.1977542700931,"FZD7","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.03125,1,0.265908750633877
"Hedgehog Signaling","1/36",0.145363412482719,0.293635629743539,0,0,6.60398671096346,12.7359097473699,"LDB1","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.0277777777777778,1,0.288807836021772
"Apoptosis","2/161",0.155266945542206,0.293635629743539,0,0,2.92327044025157,5.44491104195724,"APP;TIMP2","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.0124223602484472,2,0.300548878509351
"Pancreas Beta Cells","1/40",0.160164888951022,0.293635629743539,0,0,5.92546213476446,10.8527886964838,"VDR","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.025,1,0.307756198236925
"Apical Surface","1/44",0.174712914554879,0.303448746332159,0,0,5.37317468902109,9.37410042173185,"APP","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.0227272727272727,1,0.329709011166261
"TGF-beta Signaling","1/54",0.210002108814943,0.3102075706022,0,0,4.35717419921018,6.79997034837558,"ID2","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.0185185185185185,1,0.363752837453481
"Estrogen Response Early","2/200",0.216205276480321,0.3102075706022,0,0,2.34284016636958,3.58812289773377,"AQP3;NBL1","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.01,2,0.365605551800993
"Complement","2/200",0.216205276480321,0.3102075706022,0,0,2.34284016636958,3.58812289773377,"CSRP1;TIMP2","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.01,2,0.365605551800993
"KRAS Signaling Up","2/200",0.216205276480321,0.3102075706022,0,0,2.34284016636958,3.58812289773377,"ID2;SOX9","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.01,2,0.365605551800993
"Cholesterol Homeostasis","1/74",0.276165840468603,0.379728030644329,0,0,3.16024211532335,4.0664533057444,"ALCAM","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.0135135135135135,1,0.419827868591158
"Protein Secretion","1/96",0.342630760349332,0.452272603661118,0,0,2.42570379436965,2.59817597233327,"DST","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.0104166666666667,1,0.479683064489064
"Fatty Acid Metabolism","1/158",0.499186564256329,0.583667991495099,0,0,1.46319063842394,1.01658882719938,"EPHX1","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.00632911392405063,1,0.624761562749085
"Mitotic Spindle","1/199",0.581830679116762,0.583667991495099,0,0,1.15779891942683,0.627035879421801,"DST","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.0050251256281407,1,0.69440342071156
"Adipogenesis","1/200",0.583667991495099,0.583667991495099,0,0,1.15192240271123,0.620221476127724,"APOE","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.005,1,0.69440342071156
"mTORC1 Signaling","1/200",0.583667991495099,0.583667991495099,0,0,1.15192240271123,0.620221476127724,"SLC6A6","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.005,1,0.69440342071156
"Myc Targets V1","1/200",0.583667991495099,0.583667991495099,0,0,1.15192240271123,0.620221476127724,"RPS2","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.005,1,0.69440342071156
"Glycolysis","1/200",0.583667991495099,0.583667991495099,0,0,1.15192240271123,0.620221476127724,"SOX9","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.005,1,0.69440342071156
"heme Metabolism","1/200",0.583667991495099,0.583667991495099,0,0,1.15192240271123,0.620221476127724,"AQP3","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.005,1,0.69440342071156
"KRAS Signaling Dn","1/200",0.583667991495099,0.583667991495099,0,0,1.15192240271123,0.620221476127724,"TENM2","de/p60_de_up10_vs_middle10_downsample500_pct10_lfc0.1.csv",0.005,1,0.69440342071156
"Epithelial Mesenchymal Transition","16/200",1.08572433141591e-10,4.34289732566366e-09,0,0,9.64038319823139,221.185130451091,"ECM1;POSTN;SPARC;CADM1;IGFBP4;TPM2;MMP2;FBLN1;THBS1;GREM1;NT5E;CALD1;ID2;COL8A2;GAS1;CCN2","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.08,16,1.63401511878095e-08
"Estrogen Response Late","10/200",2.55208841215269e-05,0.000510417682430538,0,0,5.64193270060397,59.6691561584598,"FOXC1;IGFBP4;ID2;HSPA4L;BAG1;FLNB;HR;NBL1;CXCL14;PRLR","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.05,10,0.00059090662465997
"IL-2/STAT5 Signaling","9/199",0.000140015620915562,0.00186687494554083,0,0,5.05014302059497,44.813739776179,"GABARAPL1;ECM1;NT5E;ALCAM;S100A1;COL6A1;SLC39A8;PHLDA1;HOPX","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0452261306532663,9,0.00205583911685776
"Angiogenesis","4/36",0.000388840804657645,0.00388840804657645,0,0,13.0787037037037,102.698435311529,"APP;POSTN;S100A4;FGFR1","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.111111111111111,4,0.00468164328807804
"Xenobiotic Metabolism","8/200",0.000741302910875434,0.00593042328700347,0,0,4.41779279279279,31.8394798690203,"SLC6A6;GABARAPL1;IGFBP4;ID2;EPHX1;CAT;FBLN1;APOE","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.04,8,0.00676158109616684
"TGF-beta Signaling","4/54",0.00182395781219639,0.0121597187479759,0,0,8.36275132275132,52.7417527762602,"ID2;ID1;ID3;THBS1","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0740740740740741,4,0.0138990202904079
"Coagulation","6/138",0.00224003560372937,0.0128002034498821,0,0,4.7824501701507,29.1789887532342,"SPARC;CSRP1;S100A1;MMP2;CAPN2;THBS1","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0434782608695652,6,0.0155673774848718
"UV Response Dn","6/144",0.00277085069009133,0.0138542534504567,0,0,4.57312252964427,26.9292934328742,"FZD2;ZMIZ1;CITED2;NFIB;ID1;PLPP3","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0416666666666667,6,0.0177452352705849
"Estrogen Response Early","7/200",0.0033461356980412,0.0148717142135165,0,0,3.82466989804446,21.8004238270598,"FOXC1;IGFBP4;BAG1;FLNB;HR;AQP3;NBL1","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.035,7,0.0209736839723502
"Apical Surface","3/44",0.00876372089300995,0.0350548835720398,0,0,7.61206675224647,36.0593855868839,"APP;GAS1;EFNA5","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0681818181818182,3,0.0428923575413983
"Myogenesis","6/200",0.0132044721850042,0.0440149072833473,0,0,3.24378411158278,14.0365016503223,"APP;SPARC;FST;TPM2;BAG1;IGFBP7","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.03,6,0.0559795229251586
"p53 Pathway","6/200",0.0132044721850042,0.0440149072833473,0,0,3.24378411158278,14.0365016503223,"APP;KRT17;VDR;HSPA4L;EPHX1;S100A4","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.03,6,0.0559795229251586
"Androgen Response","4/100",0.0160717407971991,0.0494515101452281,0,0,4.34545855379189,17.9497542704628,"STEAP4;ZMIZ1;ACTN1;SLC38A2","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.04,4,0.0642915182327737
"Notch Signaling","2/32",0.0380200490879604,0.108628711679887,0,0,6.90296684118674,22.5702278981306,"TCF7L2;FZD7","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0625,2,0.116775865055878
"Adipogenesis","5/200",0.0448497130279266,0.119599234741138,0,0,2.67484997272231,8.30390613763502,"APLP2;CAT;SNCG;APOE;SDHB","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.025,5,0.134326006183143
"Reactive Oxygen Species Pathway","2/49",0.0811315805369225,0.202828951342306,0,0,4.40236159073187,11.0573367286858,"CAT;MGST1","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0408163265306122,2,0.202660628561109
"TNF-alpha Signaling via NF-kB","4/200",0.128618767748704,0.244988129045151,0,0,2.1175898931001,4.34297048806294,"MARCKS;ID2;PLPP3;PHLDA1","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.02,4,0.263362238723537
"Hypoxia","4/200",0.128618767748704,0.244988129045151,0,0,2.1175898931001,4.34297048806294,"SLC6A6;CITED2;S100A4;CCN2","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.02,4,0.263362238723537
"Apical Junction","4/200",0.128618767748704,0.244988129045151,0,0,2.1175898931001,4.34297048806294,"ACTN1;MMP2;CD34;PKD1","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.02,4,0.263362238723537
"Glycolysis","4/200",0.128618767748704,0.244988129045151,0,0,2.1175898931001,4.34297048806294,"NT5E;CITED2;SOX9;PYGL","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.02,4,0.263362238723537
"heme Metabolism","4/200",0.128618767748704,0.244988129045151,0,0,2.1175898931001,4.34297048806294,"CAT;AQP3;NUDT4;TNS1","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.02,4,0.263362238723537
"UV Response Up","3/158",0.196300210883688,0.354268952403408,0,0,2.00190152801358,3.25931610378571,"LHX2;EPHX1;AQP3","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0189873417721519,3,0.357017301969729
"Apoptosis","3/161",0.203704647631959,0.354268952403408,0,0,1.96359093937375,3.12423840098125,"APP;MMP2;TIMP2","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0186335403726708,3,0.36281123631491
"Pperoxisome","2/104",0.26556172211385,0.44260287018975,0,0,2.02289292680423,2.68216989519775,"CADM1;CAT","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0192307692307692,2,0.405756742925223
"Bile Acid Metabolism","2/112",0.294148225349724,0.470637160559558,0,0,1.87501189909567,2.29439856840358,"NEDD4;CAT","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0178571428571429,2,0.436150816897866
"Pancreas Beta Cells","1/40",0.321760127104295,0.495015580160454,0,0,2.63995726495726,2.99357678957698,"VDR","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.025,1,0.463396163915756
"Fatty Acid Metabolism","2/158",0.451932056550957,0.669528972668084,0,0,1.31903611222983,1.04760938246541,"GABARAPL1;EPHX1","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0126582278481013,2,0.576404868736601
"Cholesterol Homeostasis","1/74",0.512705005610983,0.699733462806523,0,0,1.40796232876712,0.940595762460342,"ALCAM","de/p60_de_up10_vs_bottom10_downsample500_pct10_lfc0.1.csv",0.0135135135135135,1,0.639023630181804
